,Player,matches,innings,No,Runs,HS,Average,BF,SR,100,50,4,6,season
682,Thisara Perera,16,14,4,233,40,23.3,163,142.94,0,0,12,14,2013
683,Cameron White,13,13,1,209,52,17.41,191,109.42,0,1,18,7,2013
684,Sanju Samson,11,10,2,206,63,25.75,178,115.73,0,1,19,5,2013
685,Ravindra Jadeja,18,14,6,201,38,25.12,135,148.88,0,0,17,6,2013
686,Azhar Mahmood,11,10,0,196,80,19.6,154,127.27,0,2,22,5,2013
687,Ben Rohrer,8,8,2,193,64,32.16,140,137.85,0,1,21,5,2013
688,Darren Sammy,10,9,3,174,60,29.0,132,131.81,0,1,11,10,2013
689,Angelo Mathews,11,10,3,172,40,24.57,139,123.74,0,0,5,10,2013
690,Moises Henriques,10,9,5,165,44,41.25,125,132.0,0,0,20,3,2013
691,Manan Vohra,12,10,2,161,43,20.12,117,137.6,0,0,22,2,2013
692,Steve Smith,7,7,3,159,41,39.75,132,120.45,0,0,15,4,2013
693,Unmukt Chand,9,9,0,158,41,17.55,158,100.0,0,0,17,4,2013
694,Kedar Jadhav,12,10,3,152,31,21.71,124,122.58,0,0,8,5,2013
695,Manoj Tiwary,10,9,1,146,33,18.25,140,104.28,0,0,12,1,2013
696,Irfan Pathan,15,13,5,142,24,17.75,152,93.42,0,0,9,3,2013
697,Mitchell Marsh,9,8,1,140,38,20.0,106,132.07,0,0,6,10,2013
698,Manish Pandey,7,7,1,136,66,22.66,137,99.27,0,1,11,3,2013
699,Manpreet Juneja,7,7,0,125,49,17.85,128,97.65,0,0,11,1,2013
700,Ashish Reddy,12,10,4,125,36,20.83,89,140.44,0,0,8,5,2013
701,Dishant Yagnik,12,9,1,125,34,15.62,96,130.2,0,0,17,2,2013
702,Subramaniam Badrinath,18,8,1,124,34,17.71,121,102.47,0,0,11,0,2013
703,Biplap Samantray,8,7,2,123,55,24.6,111,110.81,0,1,13,2,2013
704,Aditya Tare,5,5,0,123,59,24.6,84,146.42,0,1,14,5,2013
705,Dwayne Bravo,18,12,4,121,23,15.12,106,114.15,0,0,11,3,2013
706,Kumar Sangakkara,9,9,0,120,28,13.33,136,88.23,0,0,13,0,2013
707,Harbhajan Singh,19,14,8,116,25,19.33,79,146.83,0,0,12,5,2013
708,Saurabh Tiwary,9,6,2,109,52,27.25,106,102.83,0,1,4,4,2013
709,Rajagopal Sathish,9,8,3,109,27,21.8,77,141.55,0,0,9,5,2013
710,Gurkeerat Mann Singh,11,9,1,108,31,13.5,95,113.68,0,0,10,3,2013
711,Luke Wright,6,6,1,106,44,21.2,60,176.66,0,0,16,3,2013
712,Rajat Bhatia,15,10,4,99,26,16.5,80,123.75,0,0,8,3,2013
713,Cheteshwar Pujara,4,4,0,92,51,23.0,99,92.92,0,1,14,0,2013
714,Akshath Reddy,7,7,0,91,27,13.0,101,90.09,0,0,9,0,2013
715,Amit Mishra,17,8,2,89,30,14.83,96,92.7,0,0,9,0,2013
716,Karn Sharma,13,7,3,85,39,21.25,86,98.83,0,0,6,2,2013
717,Ryan ten Doeschate,4,4,1,85,42,28.33,63,134.92,0,0,9,2,2013
718,Tillakaratne Dilshan,5,5,0,76,33,15.2,93,81.72,0,0,12,0,2013
719,Debabrata Das,10,6,1,75,23,15.0,74,101.35,0,0,5,5,2013
720,Vinay Kumar,16,5,4,70,26,70.0,44,159.09,0,0,6,3,2013
721,Wriddhiman Saha,3,3,0,70,39,23.33,56,125.0,0,0,6,4,2013
722,Mayank Agarwal,5,5,0,67,29,13.4,62,108.06,0,0,6,3,2013
723,Abhishek Nayar,11,9,3,66,25,11.0,73,90.41,0,0,5,0,2013
724,Piyush Chawla,16,11,5,64,23,10.66,57,112.28,0,0,5,3,2013
725,Ross Taylor,5,5,0,63,19,12.6,76,82.89,0,0,2,1,2013
726,Luke Pomersbach,3,3,1,58,33,29.0,59,98.3,0,0,5,1,2013
727,Morne Morkel,10,6,1,57,23,11.4,29,196.55,0,0,6,3,2013
728,James Faulkner,16,9,4,57,19,11.4,57,100.0,0,0,5,2,2013
729,Dale Steyn,17,8,6,53,18,26.5,36,147.22,0,0,5,2,2013
730,Ricky Ponting,6,5,0,52,28,10.4,75,69.33,0,0,3,1,2013
731,Bhuvneshwar Kumar,16,9,2,52,24,7.42,71,73.23,0,0,3,1,2013
732,Tirumalasetti Suman,7,5,0,52,23,10.4,58,89.65,0,0,8,0,2013
733,Praveen Kumar,15,7,1,47,24,7.83,39,120.51,0,0,3,3,2013
734,Albie Morkel,8,3,0,46,23,15.33,37,124.32,0,0,2,3,2013
735,Manpreet Gony,8,5,1,45,42,11.25,25,180.0,0,0,4,3,2013
736,Chidhambaram Gautam,3,3,1,44,30,22.0,34,129.41,0,0,4,1,2013
737,Johan Botha,6,6,0,43,23,7.16,52,82.69,0,0,5,1,2013
738,Arun Karthik,12,5,2,41,19,13.66,38,107.89,0,0,3,1,2013
739,Mitchell Johnson,17,6,2,39,11,9.75,36,108.33,0,0,2,2,2013
740,Kevon Cooper,14,5,1,39,26,9.75,22,177.27,0,0,4,2,2013
741,Umesh Yadav,16,8,7,38,12,38.0,38,100.0,0,0,3,1,2013
742,Ravi Rampaul,10,6,2,38,23,9.5,37,102.7,0,0,3,1,2013
743,Glenn Maxwell,3,3,1,36,23,18.0,27,133.33,0,0,1,4,2013
744,Ravichandran Ashwin,18,5,1,35,11,8.75,49,71.42,0,0,4,0,2013
745,Kane Richardson,3,2,0,34,26,17.0,36,94.44,0,0,2,1,2013
746,Owais Shah,2,2,0,25,24,12.5,23,108.69,0,0,2,0,2013
747,Jeevan Mendis,3,3,0,23,12,7.66,27,85.18,0,0,0,0,2013
748,Sumit Narwal,2,1,0,23,23,23.0,15,153.33,0,0,4,0,2013
749,Roelof van der Merwe,3,2,0,22,14,11.0,25,88.0,0,0,2,0,2013
750,Sunil Narine,16,6,3,21,13,7.0,19,110.52,0,0,0,2,2013
751,Brett Lee,3,2,1,21,16,21.0,12,175.0,0,0,1,2,2013
752,Rishi Dhawan,6,4,1,21,14,7.0,21,100.0,0,0,3,0,2013
753,KL Rahul,5,2,0,20,12,10.0,16,125.0,0,0,4,0,2013
754,Abhinav Mukund,1,1,0,19,19,19.0,21,90.47,0,0,1,0,2013
755,Bharat Chipli,1,1,0,16,16,16.0,18,88.88,0,0,1,1,2013
756,Shahbaz Nadeem,12,6,1,14,6,2.8,27,51.85,0,0,1,0,2013
757,Dwaraka Ravi Teja,2,2,1,14,10,14.0,17,82.35,0,0,0,0,2013
758,Kushal Janith Perera,2,2,0,14,14,7.0,13,107.69,0,0,3,0,2013
759,Chris Morris,16,6,4,14,7,7.0,16,87.5,0,0,0,0,2013
760,Mithun Manhas,3,2,2,13,11,0.0,17,76.47,0,0,1,0,2013
761,Ajit Agarkar,4,2,1,12,9,12.0,16,75.0,0,0,0,0,2013
762,Andre Russell,3,2,0,11,7,5.5,14,78.57,0,0,0,0,2013
763,Rahul Sharma,11,6,2,11,10,2.75,17,64.7,0,0,1,0,2013
764,Syed Mohammad,4,2,0,10,9,5.0,13,76.92,0,0,1,0,2013
765,Sachithra Senanayake,8,4,3,10,7,10.0,17,58.82,0,0,0,0,2013
766,Thalaivan Sargunam,1,1,0,10,10,10.0,17,58.82,0,0,0,0,2013
767,Lakshmipathy Balaji,13,3,2,9,9,9.0,10,90.0,0,0,1,0,2013
768,Naman Ojha,2,2,1,9,9,9.0,10,90.0,0,0,1,0,2013
769,Karun Nair,2,2,0,9,9,4.5,12,75.0,0,0,0,0,2013
770,Lasith Malinga,17,6,2,9,7,2.25,18,50.0,0,0,1,0,2013
771,Nathan Coulter-Nile,1,1,0,9,9,9.0,6,150.0,0,0,0,1,2013
772,Ashok Dinda,13,5,3,9,6,4.5,11,81.81,0,0,1,0,2013
773,Iqbal Abdulla,5,2,2,8,6,0.0,14,57.14,0,0,0,0,2013
774,Robin Uthappa,16,16,1,660,83,44.0,479,137.78,0,5,74,18,2014
775,Dwayne Smith,16,16,0,566,79,35.37,416,136.05,0,5,50,34,2014
776,Glenn Maxwell,16,16,0,552,95,34.5,294,187.75,0,4,48,36,2014
777,David Warner,14,14,3,528,90,48.0,375,140.8,0,6,39,24,2014
778,Suresh Raina,16,16,3,523,87,40.23,358,146.08,0,5,51,19,2014
779,Virender Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,56,18,2014
780,David Miller,16,16,6,446,66,44.6,299,149.16,0,3,34,21,2014
781,JP Duminy,14,14,6,410,67,51.25,305,134.42,0,2,22,20,2014
782,Brendon McCullum,14,14,1,405,71,31.15,333,121.62,0,3,32,19,2014
783,Manish Pandey,16,16,3,401,94,30.84,340,117.94,0,2,35,10,2014
784,AB de Villiers,14,13,2,395,89,35.9,249,158.63,0,3,26,24,2014
785,Lendl Simmons,8,8,1,394,100,56.28,291,135.39,1,3,43,14,2014
786,Rohit Sharma,15,15,2,390,59,30.0,302,129.13,0,3,31,16,2014
787,Shikhar Dhawan,14,14,1,377,64,29.0,319,118.18,0,2,49,7,2014
788,Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,22,28,2014
789,MS Dhoni,16,15,10,371,57,74.2,250,148.4,0,1,22,20,2014
790,Wriddhiman Saha,17,13,2,362,115,32.9,249,145.38,1,2,33,18,2014
791,Ambati Rayudu,15,14,0,361,68,25.78,287,125.78,0,2,31,8,2014
792,Virat Kohli,14,14,1,359,73,27.61,294,122.1,0,2,23,16,2014
793,Sanju Samson,13,13,0,339,74,26.07,273,124.17,0,2,25,17,2014
794,Ajinkya Rahane,13,12,0,339,72,28.25,291,116.49,0,3,38,3,2014
795,Gautam Gambhir,16,16,1,335,69,22.33,293,114.33,0,3,36,4,2014
796,Karun Nair,11,11,1,330,73,33.0,232,142.24,0,3,38,9,2014
797,Dinesh Karthik,14,14,0,325,69,23.21,258,125.96,0,3,28,11,2014
798,Manan Vohra,8,8,0,324,67,40.5,233,139.05,0,1,27,16,2014
799,Aaron Finch,13,13,2,309,88,28.09,263,117.49,0,2,31,9,2014
800,Faf du Plessis,15,12,1,303,54,27.54,235,128.93,0,2,26,7,2014
801,Kevin Pietersen,11,11,1,294,58,29.4,233,126.18,0,1,34,7,2014
802,Kieron Pollard,15,15,7,273,78,34.12,203,134.48,0,1,15,15,2014
803,Yusuf Pathan,15,12,3,268,72,29.77,165,162.42,0,1,15,20,2014
804,Corey Anderson,12,11,2,265,95,29.44,181,146.4,0,1,21,15,2014
805,George Bailey,17,16,7,257,40,28.55,190,135.26,0,0,19,10,2014
806,Shane Watson,13,13,1,240,51,20.0,196,122.44,0,2,19,14,2014
807,Naman Ojha,11,10,4,232,79,38.66,161,144.09,0,1,14,17,2014
808,Shakib Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,22,7,2014
809,Michael Hussey,9,9,0,209,56,23.22,182,114.83,0,2,17,7,2014
810,Murali Vijay,11,11,0,207,52,18.81,192,107.81,0,1,20,5,2014
811,Parthiv Patel,12,12,2,205,57,20.5,185,110.81,0,1,30,1,2014
812,Chris Gayle,9,9,0,196,46,21.77,184,106.52,0,0,18,12,2014
813,James Faulkner,13,12,8,181,41,45.25,94,192.55,0,0,8,16,2014
814,KL Rahul,11,8,0,166,46,20.75,164,101.21,0,0,12,3,2014
815,Suryakumar Yadav,16,10,5,164,34,32.8,117,140.17,0,0,16,5,2014
816,Quinton de Kock,7,7,0,153,48,21.85,130,117.69,0,0,19,4,2014
817,Manoj Tiwary,8,8,3,152,61,30.4,118,128.81,0,1,14,4,2014
818,Jacques Kallis,8,7,1,151,72,25.16,129,117.05,0,1,13,4,2014
819,Kedar Jadhav,10,10,5,149,37,29.8,101,147.52,0,0,13,7,2014
820,Steve Smith,10,7,3,147,48,36.75,110,133.63,0,0,13,4,2014
821,Ravindra Jadeja,16,10,5,146,36,29.2,110,132.72,0,0,9,5,2014
822,Aditya Tare,15,12,4,126,24,15.75,98,128.57,0,0,16,3,2014
823,Cheteshwar Pujara,6,6,1,125,40,25.0,124,100.8,0,0,17,0,2014
824,Stuart Binny,13,12,2,123,48,12.3,121,101.65,0,0,4,5,2014
825,Chidhambaram Gautam,9,9,2,121,33,17.28,111,109.0,0,0,13,5,2014
826,David Hussey,5,4,2,116,50,58.0,94,123.4,0,1,8,6,2014
827,Mayank Agarwal,8,8,0,115,31,14.37,91,126.37,0,0,12,3,2014
828,Darren Sammy,10,9,2,108,29,15.42,91,118.68,0,0,4,8,2014
829,Yogesh Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1,2014
830,Brad Hodge,4,4,1,101,40,33.66,72,140.27,0,0,4,6,2014
831,Mitchell Starc,14,9,3,85,29,14.16,84,101.19,0,0,9,0,2014
832,Rishi Dhawan,13,6,4,82,23,41.0,75,109.33,0,0,8,1,2014
833,Sachin Rana,9,7,4,73,19,24.33,65,112.3,0,0,7,1,2014
834,Venugopal Rao,7,5,2,71,27,23.66,63,112.69,0,0,8,0,2014
835,Shaun Marsh,2,2,0,70,40,35.0,52,134.61,0,0,7,3,2014
836,Rajat Bhatia,12,7,2,67,23,13.4,53,126.41,0,0,4,3,2014
837,Axar Patel,17,8,2,62,42,10.33,60,103.33,0,0,6,1,2014
838,Ross Taylor,4,4,1,59,43,19.66,59,100.0,0,0,6,0,2014
839,Chris Lynn,2,2,0,58,45,29.0,49,118.36,0,0,5,3,2014
840,Mitchell Johnson,14,8,5,56,16,18.66,50,112.0,0,0,4,3,2014
841,Irfan Pathan,10,6,4,55,23,27.5,54,101.85,0,0,5,0,2014
842,Ryan ten Doeschate,10,7,3,52,25,13.0,33,157.57,0,0,3,4,2014
843,Albie Morkel,7,5,2,45,16,15.0,41,109.75,0,0,1,3,2014
844,Ravichandran Ashwin,16,6,3,45,14,15.0,45,100.0,0,0,4,0,2014
845,Abhishek Nayar,5,4,1,43,23,14.33,47,91.48,0,0,5,1,2014
846,Jimmy Neesham,4,3,0,42,22,14.0,46,91.3,0,0,3,1,2014
847,Karn Sharma,14,8,4,42,17,10.5,29,144.82,0,0,1,3,2014
848,Ben Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0,2014
849,Rilee Rossouw,3,3,0,39,24,13.0,41,95.12,0,0,2,2,2014
850,Kevon Cooper,5,5,2,39,32,13.0,26,150.0,0,0,2,3,2014
851,Varun Aaron,10,3,3,35,17,0.0,34,102.94,0,0,2,1,2014
852,Dhawal Kulkarni,8,2,2,35,28,0.0,25,140.0,0,0,1,2,2014
853,Mithun Manhas,12,5,3,35,13,17.5,23,152.17,0,0,3,1,2014
854,Ankit Sharma,3,2,0,34,30,17.0,30,113.33,0,0,4,1,2014
855,Piyush Chawla,11,5,2,31,17,10.33,19,163.15,0,0,4,1,2014
856,Laxmi Ratan Shukla,5,3,0,31,21,10.33,38,81.57,0,0,2,1,2014
857,Vijay Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1,2014
858,Harbhajan Singh,14,7,2,28,10,5.6,25,112.0,0,0,2,2,2014
859,Mandeep Singh,3,3,0,24,21,8.0,26,92.3,0,0,2,0,2014
860,Dale Steyn,14,4,1,22,12,7.33,26,84.61,0,0,1,0,2014
861,Rahul Shukla,3,3,2,18,14,18.0,21,85.71,0,0,2,0,2014
862,Nic Maddinson,2,2,0,16,12,8.0,14,114.28,0,0,3,0,2014
863,Rahul Tewatia,3,1,0,16,16,16.0,13,123.07,0,0,0,1,2014
864,Jason Holder,1,1,0,16,16,16.0,12,133.33,0,0,2,1,2014
865,Ravi Rampaul,2,1,0,13,13,13.0,13,100.0,0,0,0,1,2014
866,Harshal Patel,3,3,1,13,6,6.5,7,185.71,0,0,1,1,2014
867,Shreyas Gopal,4,1,0,11,11,11.0,10,110.0,0,0,1,0,2014
868,Sunil Narine,16,5,3,10,6,5.0,14,71.42,0,0,0,0,2014
869,Moises Henriques,4,2,0,9,9,4.5,14,64.28,0,0,1,0,2014
870,Zaheer Khan,6,4,3,8,7,8.0,7,114.28,0,0,0,1,2014
871,Imran Tahir,6,2,0,8,4,4.0,10,80.0,0,0,2,0,2014
872,Ben Cutting,1,1,0,8,8,8.0,6,133.33,0,0,0,1,2014
873,Dwayne Bravo,1,1,1,8,8,0.0,3,266.66,0,0,0,1,2014
874,Shahbaz Nadeem,11,3,1,7,3,3.5,19,36.84,0,0,0,0,2014
875,Pravin Tambe,13,2,0,5,3,2.5,9,55.55,0,0,0,0,2014
876,Shivam Sharma,4,2,1,5,4,5.0,3,166.66,0,0,1,0,2014
877,Morne Morkel,12,2,2,4,4,0.0,3,133.33,0,0,0,0,2014
878,Vinay Kumar,9,4,2,4,4,2.0,6,66.66,0,0,0,0,2014
879,Ashok Dinda,9,3,2,4,2,4.0,12,33.33,0,0,0,0,2014
880,Amit Mishra,10,2,1,4,4,4.0,7,57.14,0,0,0,0,2014
881,Tim Southee,3,1,0,4,4,4.0,4,100.0,0,0,1,0,2014
882,Dishant Yagnik,1,1,1,4,4,0.0,6,66.66,0,0,0,0,2014
883,Abu Nechim,4,1,1,4,4,0.0,1,400.0,0,0,1,0,2014
884,Mohammad Shami,12,4,2,3,1,1.5,7,42.85,0,0,0,0,2014
885,Manvinder Bisla,1,1,0,3,3,3.0,9,33.33,0,0,0,0,2014
886,Srikkanth Anirudha,1,1,0,3,3,3.0,5,60.0,0,0,0,0,2014
887,Lasith Malinga,10,1,0,2,2,2.0,4,50.0,0,0,0,0,2014
888,Wayne Parnell,8,2,1,2,2,2.0,2,100.0,0,0,0,0,2014
889,Sandeep Sharma,11,1,1,2,2,0.0,5,40.0,0,0,0,0,2014
890,Umesh Yadav,12,1,0,2,2,2.0,4,50.0,0,0,0,0,2014
891,Andre Russell,2,2,0,2,1,1.0,8,25.0,0,0,0,0,2014
892,Siddarth Kaul,5,1,1,2,2,0.0,2,100.0,0,0,0,0,2014
893,Unmukt Chand,1,1,0,2,2,2.0,9,22.22,0,0,0,0,2014
894,Yuzvendra Chahal,14,2,2,1,1,0.0,1,100.0,0,0,0,0,2014
895,Kane Richardson,7,1,0,1,1,1.0,2,50.0,0,0,0,0,2014
896,Bhuvneshwar Kumar,14,2,1,1,1,1.0,4,25.0,0,0,0,0,2014
897,Jasprit Bumrah,11,2,2,1,1,0.0,3,33.33,0,0,0,0,2014
898,Jaydev Unadkat,9,2,1,1,1,1.0,6,16.66,0,0,0,0,2014
899,Praveen Kumar,3,1,0,1,1,1.0,2,50.0,0,0,0,0,2014
900,Marchant de Lange,1,1,0,1,1,1.0,2,50.0,0,0,0,0,2014
901,Vikramjeet Malik,1,1,1,1,1,0.0,2,50.0,0,0,0,0,2014
902,Karanveer Singh,5,1,1,1,1,0.0,1,100.0,0,0,0,0,2014
903,David Warner,14,14,1,562,91,43.23,359,156.54,0,7,65,21,2015
904,Lendl Simmons,13,13,1,540,71,45.0,441,122.44,0,6,56,21,2015
905,Ajinkya Rahane,14,13,2,540,91,49.09,413,130.75,0,4,53,13,2015
906,AB de Villiers,16,14,3,513,133,46.63,293,175.08,1,2,60,22,2015
907,Virat Kohli,16,16,5,505,82,45.9,386,130.82,0,3,35,23,2015
908,Chris Gayle,14,14,2,491,117,40.91,333,147.44,1,2,39,38,2015
909,Rohit Sharma,16,16,2,482,98,34.42,333,144.74,0,3,41,21,2015
910,Shreyas Iyer,14,14,1,439,83,33.76,342,128.36,0,4,41,21,2015
911,Brendon McCullum,14,14,1,436,100,33.53,280,155.71,1,2,51,23,2015
912,Kieron Pollard,16,14,3,419,70,38.09,256,163.67,0,2,28,28,2015
913,JP Duminy,14,13,3,414,78,41.4,315,131.42,0,4,27,20,2015
914,Dwayne Smith,16,16,0,399,62,24.93,335,119.1,0,2,52,16,2015
915,Faf du Plessis,17,15,2,380,55,29.23,304,125.0,0,1,37,5,2015
916,Suresh Raina,17,17,2,374,62,24.93,304,123.02,0,2,31,16,2015
917,MS Dhoni,17,17,5,372,53,31.0,305,121.96,0,1,27,17,2015
918,Robin Uthappa,13,13,1,364,80,30.33,277,131.4,0,1,42,7,2015
919,David Miller,13,13,2,357,89,32.45,266,134.21,0,2,21,21,2015
920,Shikhar Dhawan,14,14,1,353,54,27.15,286,123.42,0,3,45,6,2015
921,Shane Watson,10,9,1,347,104,43.37,257,135.01,1,1,37,14,2015
922,Parthiv Patel,14,14,1,339,59,26.07,246,137.8,0,2,47,5,2015
923,Gautam Gambhir,13,13,0,327,60,25.15,278,117.62,0,3,41,4,2015
924,Andre Russell,13,11,2,326,66,36.22,169,192.89,0,3,35,19,2015
925,Yusuf Pathan,13,12,5,312,52,44.57,231,135.06,0,1,29,12,2015
926,Steve Smith,14,12,1,293,79,26.63,221,132.57,0,2,33,3,2015
927,Moises Henriques,9,9,2,287,74,41.0,211,136.01,0,2,19,13,2015
928,Ambati Rayudu,15,14,5,281,53,31.22,193,145.59,0,1,18,16,2015
929,George Bailey,13,13,2,259,61,23.54,190,136.31,0,2,22,7,2015
930,Murali Vijay,11,11,0,251,39,22.81,228,110.08,0,0,27,8,2015
931,Wriddhiman Saha,14,13,0,249,42,19.15,197,126.39,0,0,16,10,2015
932,Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2,23,10,2015
933,Manish Pandey,13,12,1,225,40,20.45,184,122.28,0,0,22,7,2015
934,Mayank Agarwal,10,10,1,213,68,23.66,177,120.33,0,2,23,7,2015
935,Axar Patel,14,12,3,206,40,22.88,174,118.39,0,0,13,8,2015
936,Sanju Samson,14,11,1,204,76,20.4,163,125.15,0,1,16,8,2015
937,Dwayne Bravo,17,14,5,195,62,21.66,148,131.75,0,1,22,5,2015
938,Kedar Jadhav,14,12,4,189,63,23.62,140,135.0,0,1,16,7,2015
939,Eoin Morgan,9,9,1,187,63,23.37,151,123.84,0,1,11,11,2015
940,Karun Nair,14,12,1,181,61,16.45,145,124.82,0,1,18,5,2015
941,Suryakumar Yadav,13,13,4,157,46,17.44,113,138.93,0,0,12,8,2015
942,Mandeep Singh,14,9,2,157,54,22.42,100,157.0,0,1,17,6,2015
943,Deepak Hooda,14,9,0,151,54,16.77,95,158.94,0,1,6,11,2015
944,Ravi Bopara,9,8,3,145,41,29.0,120,120.83,0,0,6,6,2015
945,Glenn Maxwell,11,11,0,145,43,13.18,112,129.46,0,0,13,8,2015
946,Angelo Mathews,11,10,3,144,28,20.57,104,138.46,0,0,12,6,2015
947,James Faulkner,13,11,3,144,46,18.0,109,132.11,0,0,12,5,2015
948,KL Rahul,9,8,3,142,44,28.4,126,112.69,0,0,8,5,2015
949,Dinesh Karthik,16,11,0,141,28,12.81,117,120.51,0,0,15,4,2015
950,Naman Ojha,14,11,1,137,28,13.7,121,113.22,0,0,12,4,2015
951,Ravindra Jadeja,17,12,5,132,24,18.85,126,104.76,0,0,7,3,2015
952,David Wiese,14,7,3,122,47,30.5,86,141.86,0,0,12,4,2015
953,Quinton de Kock,3,3,0,122,69,40.66,77,158.44,0,2,18,4,2015
954,Harbhajan Singh,15,10,3,117,64,16.71,73,160.27,0,1,9,9,2015
955,Pawan Negi,10,9,1,116,36,14.5,73,158.9,0,0,10,5,2015
956,Corey Anderson,4,4,1,114,55,38.0,97,117.52,0,2,11,6,2015
957,Hardik Pandya,9,8,3,112,61,22.4,62,180.64,0,1,9,8,2015
958,Sarfaraz Khan,13,8,4,111,45,27.75,71,156.33,0,0,12,2,2015
959,Saurabh Tiwary,7,6,6,109,28,0.0,78,139.74,0,0,9,5,2015
960,Karn Sharma,14,9,3,104,32,17.33,85,122.35,0,0,3,6,2015
961,Unmukt Chand,6,5,0,102,58,20.4,83,122.89,0,1,13,2,2015
962,Virender Sehwag,8,8,0,99,47,12.37,84,117.85,0,0,12,3,2015
963,Albie Morkel,4,3,2,86,73,86.0,65,132.3,0,1,9,2,2015
964,Manan Vohra,7,7,0,82,39,11.71,81,101.23,0,0,4,5,2015
965,Shaun Marsh,4,4,0,81,65,20.25,58,139.65,0,1,7,3,2015
966,Michael Hussey,4,4,0,77,56,19.25,70,110.0,0,1,5,3,2015
967,Chris Morris,11,7,5,76,34,38.0,46,165.21,0,0,3,5,2015
968,Stuart Binny,13,8,4,74,20,18.5,66,112.12,0,0,7,1,2015
969,Ashish Reddy,6,5,2,73,22,24.33,46,158.69,0,0,3,5,2015
970,Ryan ten Doeschate,6,5,2,61,38,20.33,45,135.55,0,0,4,3,2015
971,Manoj Tiwary,5,3,1,57,32,28.5,56,101.78,0,0,8,1,2015
972,Piyush Chawla,13,8,4,54,22,13.5,47,114.89,0,0,5,2,2015
973,Ravichandran Ashwin,14,6,3,52,23,17.33,32,162.5,0,0,6,1,2015
974,Jagadeesha Suchith,13,6,5,48,34,48.0,32,150.0,0,0,4,2,2015
975,Hanuma Vihari,5,4,0,39,16,9.75,35,111.42,0,0,6,0,2015
976,Manvinder Bisla,2,2,0,37,20,18.5,30,123.33,0,0,6,1,2015
977,Shakib Al Hasan,4,3,0,36,23,12.0,27,133.33,0,0,5,0,2015
978,Rishi Dhawan,5,5,3,36,25,18.0,33,109.09,0,0,2,2,2015
979,Gurkeerat Mann Singh,5,5,0,35,15,7.0,39,89.74,0,0,3,1,2015
980,Kane Williamson,2,2,1,31,26,31.0,27,114.81,0,0,1,1,2015
981,Johan Botha,4,3,0,31,17,10.33,15,206.66,0,0,5,1,2015
982,Mitchell Johnson,9,8,4,31,13,7.75,36,86.11,0,0,1,1,2015
983,Umesh Yadav,12,4,3,29,24,29.0,14,207.14,0,0,5,1,2015
984,Mohit Sharma,16,6,3,28,21,9.33,18,155.55,0,0,1,2,2015
985,Aaron Finch,3,3,1,23,10,11.5,33,69.69,0,0,4,0,2015
986,Nathan Coulter-Nile,11,5,1,20,6,5.0,18,111.11,0,0,2,1,2015
987,Dale Steyn,6,3,2,20,19,20.0,13,153.84,0,0,3,0,2015
988,Iqbal Abdulla,5,2,0,20,20,10.0,18,111.11,0,0,4,0,2015
989,Harshal Patel,15,7,2,19,9,3.8,12,158.33,0,0,0,2,2015
990,Anureet Singh,14,6,3,18,10,6.0,31,58.06,0,0,0,1,2015
991,Bhuvneshwar Kumar,14,3,2,17,11,17.0,10,170.0,0,0,2,1,2015
992,Praveen Kumar,12,4,1,17,12,5.66,25,68.0,0,0,1,0,2015
993,Sean Abbott,2,2,0,15,14,7.5,13,115.38,0,0,1,1,2015
994,Aditya Tare,2,2,0,14,7,7.0,17,82.35,0,0,1,0,2015
995,Rilee Rossouw,2,2,0,14,14,7.0,10,140.0,0,0,1,1,2015
996,Darren Sammy,2,2,0,13,7,6.5,18,72.22,0,0,0,0,2015
997,Mitchell McClenaghan,12,3,2,13,12,13.0,6,216.66,0,0,0,2,2015
998,Tim Southee,7,3,2,13,7,13.0,9,144.44,0,0,1,0,2015
999,Thisara Perera,2,2,0,12,9,6.0,15,80.0,0,0,0,1,2015
1000,Mitchell Starc,13,3,2,11,9,11.0,14,78.57,0,0,1,0,2015
1001,Karanveer Singh,4,3,2,11,5,11.0,16,68.75,0,0,1,0,2015
1002,Abu Nechim,3,3,2,10,5,10.0,5,200.0,0,0,2,0,2015
1003,Sandeep Sharma,14,3,2,9,7,9.0,14,64.28,0,0,1,0,2015
1004,Amit Mishra,12,4,2,8,4,4.0,12,66.66,0,0,0,0,2015
1005,Ankit Sharma,4,2,1,7,7,7.0,6,116.66,0,0,1,0,2015
1006,Brad Hogg,6,2,1,7,5,7.0,6,116.66,0,0,0,0,2015
1007,Shardul Thakur,1,1,1,7,7,0.0,6,116.66,0,0,1,0,2015
1008,Lasith Malinga,15,1,1,6,6,0.0,10,60.0,0,0,1,0,2015
1009,Varun Aaron,6,1,0,6,6,6.0,3,200.0,0,0,0,1,2015
1010,Azhar Mahmood,1,1,0,6,6,6.0,7,85.71,0,0,1,0,2015
1011,Imran Tahir,10,2,1,5,3,5.0,6,83.33,0,0,0,0,2015
